Country,January 29 cases,February 9 2020 cases,February 11 cases ,February 18 cases ,Feb. 20 cases ,Feb. 21 cases ,Feb. 22 cases ,Feb. 23 cases ,Feb. 24 cases ,,Total deaths (Feb 15),Total deaths (Feb 18),T.D. Feb 19,T.D. Feb 20,T.D. Feb 21,T.D. Feb 22,T.D. Feb 23,T.D. Feb 24
(all other countries),0,0,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0
Australia,,,,15,15,15,21,22,22,,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,0,0
Cambodia,0,0,0,1,1,1,1,1,1,,0,0,0,0,0,0,0,0
Canada,,,,8,8,8,9,9,10,,0,0,0,0,0,0,0,0
China,"7,711","37,000","44,672","72,438","74,578","75,567","76,291","76,940","77,345",,774,"1,869","2,000","2,119","2,236","2,345","2,443","2,593"
Diamond Princess,,,,,634,634,634,634,691,,0,0,0,2,2,2,3,3
Egypt,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,0,0
Finland,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,0,0
France,,5,8,12,12,12,12,12,12,,1,1,1,1,1,1,1,1
Germany,,,,16,16,16,16,16,16,,0,0,0,0,0,0,0,0
Hong Kong,,,,61,67,69,69,74,79,,0,1,1,2,2,2,2,2
India,0,1,2,3,3,3,3,3,3,,0,0,0,0,0,0,0,0
Iran,0,0,2,4,5,5,28,43,64,,0,0,1,2,2,5,8,12
Iraq,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,1,1,2,,0,0,0,0,0,0,0,0
Italy,0,1,2,3,3,3,33,132,224,,0,0,0,0,1,1,2,5
Japan,,454,518,608,92,97,110,146,146,,1,1,1,1,1,1,1,1
Lebanon,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,0,0,0
Macao,,,,10,10,10,10,10,10,,0,0,0,0,0,0,0,0
Malaysia,,,,22,22,22,22,22,22,,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,0,0
Phlippeans,,,,3,3,3,3,3,3,,0,1,1,1,1,1,1,1
Russia,0,0,1,2,2,2,2,2,2,,0,0,0,0,0,0,0,0
Singapore,,,,77,85,86,86,89,89,,0,0,0,0,0,0,0,0
South Korea,,,,31,104,209,433,602,833,,0,0,1,1,1,2,5,8
Spain (COVID-19 virus),0,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,1,1,1,1,1,1,,0,0,0,0,0,0,0,0
Sweeden,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,0,0
Taiwan,,,,22,24,24,26,28,30,,0,1,1,1,1,1,1,1
Thailand,,,,35,35,35,35,35,35,,0,0,0,0,0,0,0,0
United Arab Emirates,,,,9,9,9,11,13,13,,0,0,0,0,0,0,0,0
United Kingdom,,4,7,9,9,9,9,9,13,,0,0,0,0,0,0,0,0
USA,,,,15,15,30,35,35,35,,0,0,0,0,0,0,0,0
Vietnam,,,,16,16,16,16,16,16,,0,0,0,0,0,0,0,0
Total,"7,711","37,467","45,214","73,423","75,776","76,893","77,925","78,907","79,731",,776,"1,874","2,007","2,130","2,248","2,361","2,467","2,627"